Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Charles Hotel - Harvard Square,1 Bennett St,,Cambridge,MA,02138,,617-864-1200,E,,Public,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,4,,,Non-Networked,,200-9,42.372442,-71.122882,2023-02-13,38525,2023-11-16 19:26:22 UTC,P,,,2010-09-13,,,,,J1772 NEMA515,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
LPG,Propane Plus,177 Winthrop St,Rt 44 and 118,Rehoboth,MA,02769,,508-252-3359,E,,Public,8am-4:30pm M-F,A Cash D M V,,,,,,,,,,200-9,41.858677,-71.229576,2025-10-13,41076,2025-10-13 20:52:30 UTC,P,,,2011-09-28,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,ACME,,,,,,,,false,,,,,,,,HD,,
ELEC,State Street Garage,75 State St,,Boston,MA,02109,,617-443-2816,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,200-9,42.358449,-71.055089,2024-01-09,43860,2025-10-02 19:58:26 UTC,P,,,2011-12-09,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,MASS AUDUBON JOPPA FLATS,1 Plum Island Turnpike,Front left of building,Newburyport,MA,01950,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.799163,-70.847133,2025-11-08,43865,2025-11-08 01:20:18 UTC,,,,2012-01-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
E85,Magazine Beach Shell Auto Repair Service,700 Memorial Dr,Intersection of Magazine St and Memorial Dr,Cambridge,MA,02139,,617-354-5565,E,,Public,6:30am-9pm daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,42.356813,-71.114147,2025-10-13,44857,2025-10-13 20:52:30 UTC,P,,,2016-08-15,,,,false,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,false,,,,,,,,,,
ELEC,Jerry Rome Nissan,500 Riverdale St,,West Springfield,MA,01089,,413-746-2266,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.119685,-72.626476,2024-02-12,45812,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Jerry Rome Nissan,500 Riverdale St,,West Springfield,MA,01089,,413-746-2266,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.119685,-72.626476,2024-02-12,45813,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Kelly Nissan of Woburn,95 Cedar St,,Woburn,MA,01801,,781-835-3500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.499069,-71.119302,2022-03-07,45817,2023-02-14 15:54:11 UTC,P,,,2012-04-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Bertera Nissan,569 Oxford St S,,Auburn,MA,01501,,508-832-9611,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,42.182748,-71.850396,2024-02-12,45874,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Bertera Nissan,569 Oxford St S,,Auburn,MA,01501,,508-832-9611,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.182748,-71.850396,2024-02-12,45875,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Battles Nissan,60 MacArthur Blvd,,Bourne,MA,02532,,508-759-4400,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,41.73883,-70.58621,2024-02-12,45878,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Battles Nissan,60 MacArthur Blvd,,Bourne,MA,02532,,508-759-4400,E,,Private,,,,,,,1,,,Non-Networked,,200-8,41.73883,-70.58621,2024-02-12,45879,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Nissan 24,1016 Belmont St,Located near the service entrance,Brockton,MA,02301,,508-588-9520,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,42.063356,-71.058186,2024-02-12,45880,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan 24,1016 Belmont St,Located near the service entrance,Brockton,MA,02301,,508-588-9520,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.063356,-71.058186,2024-02-12,45881,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Curry Nissan Chicopee,765 Memorial Dr,,Chicopee,MA,01020,,413-474-6800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,42.17889,-72.575914,2024-02-12,45882,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Country Nissan,40 Russell St,,Hadley,MA,01035,,413-774-3121,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,42.34039,-72.60616,2024-02-12,45886,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Country Nissan,40 Russell St,,Hadley,MA,01035,,413-774-3121,E,,Private,,,,,,,1,,,Non-Networked,,200-8,42.34039,-72.60616,2024-02-12,45887,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Sullivan Brothers Nissan,1 Cranberry Rd,,Kingston,MA,02364,,781-585-7500,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,41.976052,-70.7127,2024-02-12,45890,2025-02-12 00:16:32 UTC,P,,,2012-04-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Sullivan Brothers Nissan,1 Cranberry Rd,,Kingston,MA,02364,,781-585-7500,E,,Private,,,,,,,1,,,Non-Networked,,200-9,41.976052,-70.7127,2024-02-12,45891,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Ron Bouchard's Nissan,490 Old Union Turnpike,,Lancaster,MA,01523,,978-345-1800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,42.51942,-71.70076,2024-02-12,45892,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ron Bouchard's Nissan,490 Old Union Turnpike,,Lancaster,MA,01523,,978-345-1800,E,,Private,,,,,,,1,,,Non-Networked,,200-8,42.51942,-71.70076,2024-02-12,45893,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Kelly Nissan - Lynnfield,275 Broadway,,Lynnfield,MA,01940,,781-598-1234,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.509982,-71.008978,2024-02-12,45894,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Kelly Nissan - Lynnfield,275 Broadway,,Lynnfield,MA,01940,,781-598-1234,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.509982,-71.008978,2024-02-12,45895,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Marlborough Nissan,740 Boston Post Rd,,Marlborough,MA,01752,,508-481-3232,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.351115,-71.500717,2024-02-12,45896,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Marlborough Nissan,740 Boston Post Rd,,Marlborough,MA,01752,,508-481-3232,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.351115,-71.500717,2024-02-12,45897,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Colonial Nissan - Medford,104 Mystic Ave,,Medford,MA,02155,,781-395-5300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.412492,-71.106619,2024-02-12,45898,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Colonial Nissan - Medford,104 Mystic Ave,,Medford,MA,02155,,781-395-5300,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.412492,-71.106619,2024-02-12,45899,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Nissan Village of North Attleboro,685 S Washington St,,North Attleboro,MA,02761,,508-695-3515,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,41.960366,-71.342187,2024-02-12,45902,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Nissan Village of North Attleboro,685 S Washington St,,North Attleboro,MA,02761,,508-695-3515,E,,Private,,,,,,,1,,,Non-Networked,,200-9,41.960366,-71.342187,2024-02-12,45903,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Coastal Nissan,109 Accord Park Dr,,Norwell,MA,02061,,781-610-1000,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,42.165417,-70.887748,2024-02-12,45904,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Coastal Nissan,109 Accord Park Dr,,Norwell,MA,02061,,781-610-1000,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.165417,-70.887748,2024-02-12,45905,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Boch Nissan,525 Boston Providence Hwy,,Norwood,MA,02062,,781-326-1500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,42.19208100089466,-71.18490020370483,2024-02-12,45906,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Boch Nissan,525 Boston Providence Hwy,,Norwood,MA,02062,,781-326-1500,E,,Private,,,,,,,1,,,Non-Networked,,GPS,42.19208100089466,-71.18490020370483,2024-02-12,45907,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Haddad Nissan,25 W Housatonic St,,Pittsfield,MA,01201,,413-997-9399,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.445108,-73.256216,2024-02-12,45908,2025-02-12 00:16:32 UTC,P,,,2018-06-26,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Haddad Nissan,25 W Housatonic St,,Pittsfield,MA,01201,,413-997-9399,E,,Private,,,,,,,1,,,Non-Networked,,200-9,42.445108,-73.256216,2024-02-12,45909,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Quirk Nissan,600 Southern Artery,,Quincy,MA,02169,,617-472-6700,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,42.25353,-70.99149,2024-02-12,45910,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Quirk Nissan,600 Southern Artery,,Quincy,MA,02169,,617-472-6700,E,,Private,,,,,,,1,,,Non-Networked,,200-8,42.25353,-70.99149,2024-02-12,45911,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Mastria Nissan,1305 New State Hwy,,Raynham,MA,02767,,,E,,Public - Call ahead,Dealership business hours; contact 508-824-8614 for more information,,,,,,1,1,,Non-Networked,,GPS,41.904046,-71.017203,2024-02-12,45912,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Mastria Nissan,1305 New State Hwy,,Raynham,MA,02767,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,41.904046,-71.017203,2024-02-12,45913,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Electric Insurance Co,75 Sam Fonzo Dr,,Beverly,MA,01915,,,E,,Private,24 hours daily,,,,,,2,,,Non-Networked,,GPS,42.579607,-70.90188,2024-11-06,46857,2025-02-12 00:16:32 UTC,P,,,2011-12-27,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,true,
ELEC,Town of Nantucket - Town Hall Annex,37 Washington St,,Nantucket,MA,02554,,508-228-7200,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,200-9,41.280829,-70.09553,2023-02-13,47471,2025-11-06 19:55:03 UTC,T,,,2012-06-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,$0.30/kWh,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nantucket Airport,14 Airport Rd,3 plugs located next door near the gas station,Nantucket,MA,02554,,508-325-5300,E,,Public,8am-5pm M-F,,,,,,3,,,Non-Networked,,200-9,41.258249,-70.063098,2023-11-09,47473,2025-11-04 20:43:42 UTC,T,,,2021-09-28,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,false,,,,,,,,HD,false,
E85,Gulf,Mile Marker 80.4 Eastbound Mass Pike,,Charlton,MA,01507,,508-248-4735,E,,Public,24 hours daily,A Cash Checks D Debit M V Voyager Wright_Exp,,,,,,,,,,GPS,42.155986,-71.964853,2024-10-11,48558,2025-10-29 14:59:56 UTC,P,,,2012-08-01,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
ELEC,Michaud Mitsubishi,80 Andover St,,Danvers,MA,01923,,,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,42.55235,-70.962101,2024-12-10,48856,2025-02-12 00:16:32 UTC,P,,,2012-07-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,MD,false,
E85,Gulf,6 Massachusetts Turnpike,,Charlton,MA,01507,,508-248-3308,E,,Public,24 hours daily; must come into the store and notify attendant that you want E85,A Cash Comdata D M V Voyager Wright_Exp,,,,,,,,,,GPS,42.140125,-72.024614,2024-10-11,48939,2025-10-14 19:49:40 UTC,P,,,2012-07-25,,,,false,,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,false,,,,,,,,MD,,
ELEC,LELD TOYOTA 2,221 Great Rd,,Littleton,MA,01460,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.543673,-71.466175,2025-11-08,49026,2025-11-08 01:17:44 UTC,,,,2012-07-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Commonwealth Nissan,1 Commonwealth Dr,,Lawrence,MA,01841,,978-685-3400,E,,Public - Call ahead,Dealership business hours,,,,,,,2,,Non-Networked,,200-9,42.715137,-71.139068,2024-02-12,49809,2025-02-12 00:16:32 UTC,P,,,2016-10-01,,,,,CHADEMO J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,PEOPLESBANK 547 MEMORIAL,547 Memorial Ave,,West Springfield,MA,01089,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.09573,-72.606154,2025-11-08,50080,2025-11-08 01:28:42 UTC,,,,2012-11-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
